Bumi Prima Farmasi Sentorsa Sejahtera Pharm,Jl. Pisang Cerah Cluster 95 Kota/Kabupaten DELI SERDANG Provinsi SUMATERA UTARA,POINT(98.58834365696949 3.5467342599989653),Tom Williams Thomas,92101410/101032106/403519,416904508769,bumi-prima-farmasi-sentorsa-sejahtera-pharm,212
Amanah Tenaga Berkah Mawar Farma Medik,Jl. Apel Besar Cluster 32 Kota/Kabupaten KAIMANA Provinsi PAPUA BARAT,POINT(133.077434931371 -4.018324320732294),Tom Hill Johnson,1085013/264245/9299310,80267716010108,amanah-tenaga-berkah-mawar-farma-medik,967
Sentorsa Terang Bumi Farmasi Farma Apotek,Jl. Gajah Sejahtera Komplek 90 Kota/Kabupaten MERAUKE Provinsi PAPUA,POINT(138.28355338166855 -8.058904072139349),Alex Jackson Smith,1131010/297665/9389102,8391100416947,sentorsa-terang-bumi-farmasi-farma-apotek,246
Terang Murni Mawar Surya Pharma Pharm,Jl. Sirih Cermat Komplek 76 Kota/Kabupaten KOTA TANGERANG SELATAN Provinsi BANTEN,POINT(106.75253578955804 -6.298687875924254),Emily Jones Anderson,1101865/2923110/639325,8081001357392,terang-murni-mawar-surya-pharma-pharm,4
Jaya Kimia Sentorsa Badan Farma Apotek,Jl. Duku Tinggi Wilayah 73 Kota/Kabupaten TANAH DATAR Provinsi SUMATERA BARAT,POINT(100.79329662694698 -0.4062748099645894),Ashley Jones Miller,1019012/228033/203933,16139100711088,jaya-kimia-sentorsa-badan-farma-apotek,346
Cemerlang Sentorsa Apotik Sejahtera Pharma Sejahtera,Jl. Gajah Kecil Wilayah 56 Kota/Kabupaten DONGGALA Provinsi SULAWESI TENGAH,POINT(119.5179437406346 -1.4417871938563724),Lauren Parker Garcia,121455/8110225/383386,862923015284,cemerlang-sentorsa-apotik-sejahtera-pharma-sejahtera,402
Apotik Resep Bakti Amanah Pharma Sejahtera,Jl. Kota Sari Wilayah 5 Kota/Kabupaten KUPANG Provinsi NUSA TENGGARA TIMUR,POINT(124.09421104199303 -9.450763623305876),Tom Williams Martin,199487/399242/349933,190241800870,apotik-resep-bakti-amanah-pharma-sejahtera,120
Surya Lestari Badan Jaya Sejahtera Sejahtera,Jl. Sawah Sari Komplek 40 Kota/Kabupaten BANJAR Provinsi KALIMANTAN SELATAN,POINT(115.19486725683149 -3.2330870474177056),Alex Smith Brown,5518110/401724/3104596,516305234899,surya-lestari-badan-jaya-sejahtera-sejahtera,876
Lestari Resep Cemerlang Sentorsa Sehat Sejahtera,Jl. Gunung Indah Wilayah 47 Kota/Kabupaten KONAWE Provinsi SULAWESI TENGGARA,POINT(121.72579890630324 -2.940757300448851),Jason Harris Miller,1015521/1019152/318533,550926158863,lestari-resep-cemerlang-sentorsa-sehat-sejahtera,235
Murni Medic Cemerlang Tenaga Apotek Sejahtera,Jl. Durian Kecil Blok 45 Kota/Kabupaten ASMAT Provinsi PAPUA,POINT(138.20387085995048 -5.191764086009881),Ashley Anderson Jones,102512/8214108/381356,517581330907,murni-medic-cemerlang-tenaga-apotek-sejahtera,15
Tenaga Harmoni Sehat Lestari Sejahtera Farma,Jl. Kucing Jenius Cluster 69 Kota/Kabupaten KUTAI KARTANEGARA Provinsi KALIMANTAN TIMUR,POINT(116.15265303692466 0.1633984872920262),Rachel Martinez Miller,2400110/27510105/137613,76085108163106,tenaga-harmoni-sehat-lestari-sejahtera-farma,70
Harmoni Surya Nusantara Bakti Pharm Sehat,Jl. Jeruk Cermat Wilayah 9 Kota/Kabupaten NUNUKAN Provinsi KALIMANTAN UTARA,POINT(115.62974431276498 3.73422685027025),Ashley Lewis Robinson,676175/190728/531350,10012934348110,harmoni-surya-nusantara-bakti-pharm-sehat,744
Makmur Obat Bakti Medical Jaya Apotek,Jl. Jeruk Cermat Wilayah 26 Kota/Kabupaten BONE Provinsi SULAWESI SELATAN,POINT(120.0764381513429 -4.629652329306778),Alex Clark Robinson,1040481/10219108/1085933,8654030510102,makmur-obat-bakti-medical-jaya-apotek,228
Harmoni Bahagia Lestari Murni Sejahtera Farma,Jl. Kucing Cerah Komplek 73 Kota/Kabupaten MERAUKE Provinsi PAPUA,POINT(138.78277327698652 -7.97907637662618),Chris Roberts Anderson,163641/205674/725379,5169978771100,harmoni-bahagia-lestari-murni-sejahtera-farma,929
Bakti Jaya Surya Terang Pharm Sejahtera,Jl. Durian Pintar Daerah 2 Kota/Kabupaten BARITO KUALA Provinsi KALIMANTAN SELATAN,POINT(114.74188574708184 -2.960863429254588),Emily Parker Williams,271740/620621/1401310,6061210482821,bakti-jaya-surya-terang-pharm-sejahtera,415
Resep Apotik Surya Cemerlang Medik Sejahtera,Jl. Gajah Cerdas Daerah 91 Kota/Kabupaten JAYAPURA Provinsi PAPUA,POINT(140.11369652108732 -3.3689924620789045),Mark White Thomas,701659/781932/517173,61362010029108,resep-apotik-surya-cemerlang-medik-sejahtera,245
Prima Resep Murni Bakti Pharma Pharm,Jl. Gunung Cermat Cluster 99 Kota/Kabupaten KAPUAS HULU Provinsi KALIMANTAN BARAT,POINT(112.947019038807 0.2461821832948043),Mark Adams Moore,813676/6906102/2431065,801067461235,prima-resep-murni-bakti-pharma-pharm,652
Terang Bahagia Bumi Mutiara Pharm Jaya,Jl. Mangga Cerah Komplek 42 Kota/Kabupaten GAYO LUES Provinsi ACEH,POINT(97.3682161575317 3.95445900943526),David Jones Garcia,110130/843120/531233,9803821541000,terang-bahagia-bumi-mutiara-pharm-jaya,561
Medical Sentorsa Obat Bakti Apotek Medik,Jl. Gunung Cepat Wilayah 71 Kota/Kabupaten SERUYAN Provinsi KALIMANTAN TENGAH,POINT(112.266954755465 -2.675917801368133),Matt Clark Robinson,718308/841132/696359,169087138806,medical-sentorsa-obat-bakti-apotek-medik,66
Lestari Bumi Badan Prima Apotek Sejahtera,Jl. Kebun Jenius Komplek 2 Kota/Kabupaten NABIRE Provinsi PAPUA,POINT(136.07925914054363 -2.991628757812508),Jessica Clark Williams,219209/5910942/756835,98201044710610,lestari-bumi-badan-prima-apotek-sejahtera,4
Mawar Prima Bintang Indah Farma Pharm,Jl. Tembok Cepat Cluster 5 Kota/Kabupaten FAKFAK Provinsi PAPUA BARAT,POINT(133.19580261317606 -3.35443401913108),Lauren Taylor White,1091402/852086/5723102,956441843102,mawar-prima-bintang-indah-farma-pharm,484
Tubuh Toko Medical Cemerlang Medika Sehat,Jl. Apel Indah Daerah 3 Kota/Kabupaten SORONG SELATAN Provinsi PAPUA BARAT,POINT(132.3767652974198 -2.032818716484732),Matt Jackson Martin,949717/2106298/791316,9783015510304,tubuh-toko-medical-cemerlang-medika-sehat,353
Cemerlang Mutiara Prima Resep Apotek Sejahtera,Jl. Tembok Cerah Blok 60 Kota/Kabupaten MALANG Provinsi JAWA TIMUR,POINT(112.62094705974636 -8.270256683332658),Rachel Clark Brown,91781010/742623/544683,507119605581,cemerlang-mutiara-prima-resep-apotek-sejahtera,235
Indah Prima Makmur Bahagia Sehat Pharm,Jl. Kuda Cerah Wilayah 67 Kota/Kabupaten KEEROM Provinsi PAPUA,POINT(140.40075361996503 -3.1465258584961004),Mark Clark Anderson,1010772/1072285/584366,403382104815,indah-prima-makmur-bahagia-sehat-pharm,553
Surya Bahagia Bakti Bintang Pharm Medik,Jl. Rambutan Kecil Komplek 85 Kota/Kabupaten PASER Provinsi KALIMANTAN TIMUR,POINT(115.9462554195302 -2.005766838220822),Alex Martinez Martinez,103121010/447720/1437210,7060879712110,surya-bahagia-bakti-bintang-pharm-medik,55
Nusantara Jaya Jaya Bintang Sejahtera Pharma,Jl. Sawah Cerah Wilayah 29 Kota/Kabupaten OGAN ILIR Provinsi SUMATERA SELATAN,POINT(104.53516922389132 -3.18928145039494),Ashley Smith Miller,1511106/805922/7106139,2708265710133,nusantara-jaya-jaya-bintang-sejahtera-pharma,170
Apotik Medical Berkah Bintang Apotek Medik,Jl. Kota Pintar Cluster 98 Kota/Kabupaten LAMPUNG TIMUR Provinsi LAMPUNG,POINT(105.67913452648096 -5.077081749770458),John White Smith,971172/95103102/370163,80929601051016,apotik-medical-berkah-bintang-apotek-medik,827
